name,surname,URI
FRANCO,ASCIUTTI,http://dati.camera.it/ocd/persona.rdf/p200029
ROBERTO,AVOGADRO,http://dati.camera.it/ocd/persona.rdf/p200030
ANTONIO,AZZOLLINI,http://dati.camera.it/ocd/persona.rdf/p200033
MASSIMO,BALDINI,http://dati.camera.it/ocd/persona.rdf/p200040
SILVIA,BARBIERI,http://dati.camera.it/ocd/persona.rdf/p200045
DOMENICO,BARRILE,http://dati.camera.it/ocd/persona.rdf/p200048
GIUSEPPE,BASINI,http://dati.camera.it/ocd/persona.rdf/p200049
ANTONIO,BATTAGLIA,http://dati.camera.it/ocd/persona.rdf/p200054
TINO,BEDIN,http://dati.camera.it/ocd/persona.rdf/p200058
RAFFAELE,BERTONI,http://dati.camera.it/ocd/persona.rdf/p200071
GIOVANNI,SARACCO,http://dati.camera.it/ocd/persona.rdf/p200848
GIORGIO,SARTO,http://dati.camera.it/ocd/persona.rdf/p200849
MARIA ANTONIETTA,SARTORI,http://dati.camera.it/ocd/persona.rdf/p200852
CONCETTO,SCIVOLETTO,http://dati.camera.it/ocd/persona.rdf/p200863
CARLO LUIGI,SCOGNAMIGLIO PASINI,http://dati.camera.it/ocd/persona.rdf/p200866
FRANCESCA,SCOPELLITI,http://dati.camera.it/ocd/persona.rdf/p200868
NICOLO',SELLA DI MONTELUCE,http://dati.camera.it/ocd/persona.rdf/p200871
STEFANO,SEMENZATO,http://dati.camera.it/ocd/persona.rdf/p200874
ANTONIO,SERENA,http://dati.camera.it/ocd/persona.rdf/p200880
RINO,SERRI,http://dati.camera.it/ocd/persona.rdf/p200882
MARIA GRAZIA,SILIQUINI,http://dati.camera.it/ocd/persona.rdf/p200888
CARLO,SMURAGLIA,http://dati.camera.it/ocd/persona.rdf/p200891
GIUSEPPE,SPECCHIA,http://dati.camera.it/ocd/persona.rdf/p200896
FRANCESCO ENRICO,SPERONI,http://dati.camera.it/ocd/persona.rdf/p200899
ANGELO,RESCAGLIO,http://dati.camera.it/ocd/persona.rdf/p200795
NATALE,RIPAMONTI,http://dati.camera.it/ocd/persona.rdf/p200803
ALBERTO,ROBOL,http://dati.camera.it/ocd/persona.rdf/p200809
CARLA,ROCCHI,http://dati.camera.it/ocd/persona.rdf/p200813
CARLO,ROGNONI,http://dati.camera.it/ocd/persona.rdf/p200816
MAURIZIO,RONCONI,http://dati.camera.it/ocd/persona.rdf/p200821
SERGIO,ROSSI,http://dati.camera.it/ocd/persona.rdf/p200825
ETTORE ANTONIO,ROTELLI,http://dati.camera.it/ocd/persona.rdf/p200827
GIOVANNI,RUSSO,http://dati.camera.it/ocd/persona.rdf/p200834
ERSILIA,SALVATO,http://dati.camera.it/ocd/persona.rdf/p200842
CESARE,SALVI,http://dati.camera.it/ocd/persona.rdf/p200845
DONATO TOMMASO,VERALDI,http://dati.camera.it/ocd/persona.rdf/p200965
SAVERIO,VERTONE GRIMALDI,http://dati.camera.it/ocd/persona.rdf/p200966
FAUSTO,VIGEVANI,http://dati.camera.it/ocd/persona.rdf/p200969
MASSIMO,VILLONE,http://dati.camera.it/ocd/persona.rdf/p200971
BRUNO,VISERTA COSTANTINI,http://dati.camera.it/ocd/persona.rdf/p200978
