name,surname,URI
ADOLFO,BRUNICARDI,http://dati.camera.it/ocd/persona.rdf/pr1193
CARLO,BRUNET,http://dati.camera.it/ocd/persona.rdf/pr1189
EUGENIO,BRUNETTI,http://dati.camera.it/ocd/persona.rdf/pr1190
TOMASO,BERTOLLO,http://dati.camera.it/ocd/persona.rdf/pr1175
FRANCESCO,LANZA DI SCALEA,http://dati.camera.it/ocd/persona.rdf/pr11863
GIORGIO,ARCOLEO,http://dati.camera.it/ocd/persona.rdf/pr118
FERDINANDO,AVOGADRO DI COLLOBIANO DI VALDEGNO,http://dati.camera.it/ocd/persona.rdf/pr11811
GIOVANNI,BETTOLO,http://dati.camera.it/ocd/persona.rdf/pr1182
LUDOVICO,BETTONI,http://dati.camera.it/ocd/persona.rdf/pr1183
GARIBALDI,BOSCO,http://dati.camera.it/ocd/persona.rdf/pr1236
PASQUALE,ATENOLFI DI CASTELNUOVO,http://dati.camera.it/ocd/persona.rdf/pr153
EMILIO,CAMPI,http://dati.camera.it/ocd/persona.rdf/pr1533
ANTONIO,CAMPUS SERRA,http://dati.camera.it/ocd/persona.rdf/pr1539
GIULIO,CAMUZZONI,http://dati.camera.it/ocd/persona.rdf/pr1540
STEFANO,CALPINI,http://dati.camera.it/ocd/persona.rdf/pr1443
GAETANO,CALVI,http://dati.camera.it/ocd/persona.rdf/pr1446
BIAGIO,CAMAGNA,http://dati.camera.it/ocd/persona.rdf/pr1451
POMPEO,CAMBIASI,http://dati.camera.it/ocd/persona.rdf/pr1453
TOMMASO,CAMBRAY DIGNY,http://dati.camera.it/ocd/persona.rdf/pr1454
ARTURO,CARPI,http://dati.camera.it/ocd/persona.rdf/pr1467
EUGENIO,BONVICINI,http://dati.camera.it/ocd/persona.rdf/pr1422
GABRIELE,BORDONARO CHIAROMONTE,http://dati.camera.it/ocd/persona.rdf/pr1426
BARTOLOMMEO,BORELLI,http://dati.camera.it/ocd/persona.rdf/pr1429
CARLO,BORGATTA,http://dati.camera.it/ocd/persona.rdf/pr1431
GIUSEPPE,CAPRUZZI,http://dati.camera.it/ocd/persona.rdf/pr1501
DOMENICO,CARUTTI DI CANTOGNO,http://dati.camera.it/ocd/persona.rdf/pr1476
ANIELLO ALBERTO,CASALE,http://dati.camera.it/ocd/persona.rdf/pr1477
ANTONIO,CIVELLI,http://dati.camera.it/ocd/persona.rdf/pr1482
PASQUALE,CLEMENTE,http://dati.camera.it/ocd/persona.rdf/pr1485
PAOLO,CLEMENTINI,http://dati.camera.it/ocd/persona.rdf/pr1487
DAMIANO,ASSANTI,http://dati.camera.it/ocd/persona.rdf/pr149
FRANCESCO,COCCO ORTU,http://dati.camera.it/ocd/persona.rdf/pr1491
FRANCESCO,COCITO,http://dati.camera.it/ocd/persona.rdf/pr1494
FEDERICO,COCUZZA,http://dati.camera.it/ocd/persona.rdf/pr1496
EMILIO,BUFARDECI,http://dati.camera.it/ocd/persona.rdf/pr1309
BERNARDO,ARNABOLDI GAZZANIGA,http://dati.camera.it/ocd/persona.rdf/pr131
RAFFAELLO,BUSACCA DEI GALLIDORO,http://dati.camera.it/ocd/persona.rdf/pr1323
PAOLO,CARCANO,http://dati.camera.it/ocd/persona.rdf/pr1324
ANTONIO,CARDARELLI,http://dati.camera.it/ocd/persona.rdf/pr1329
GIOSUÈ,CARDUCCI,http://dati.camera.it/ocd/persona.rdf/pr1331
FRANCESCO,CARENZI,http://dati.camera.it/ocd/persona.rdf/pr1332
TEODORICO,BONACCI,http://dati.camera.it/ocd/persona.rdf/pr1279
GIUSEPPE,BONACOSSA,http://dati.camera.it/ocd/persona.rdf/pr1280
GIUSEPPE,BONAJUTO PATERNÒ CASTELLO,http://dati.camera.it/ocd/persona.rdf/pr1281
PIETRO,BONANNO,http://dati.camera.it/ocd/persona.rdf/pr1283
ENRICO,BOTTINI,http://dati.camera.it/ocd/persona.rdf/pr1291
GIUSEPPE,BRACCI TESTASECCA,http://dati.camera.it/ocd/persona.rdf/pr1300
ASCANIO,BRANCA,http://dati.camera.it/ocd/persona.rdf/pr1302
RUGGIERO,BONGHI,http://dati.camera.it/ocd/persona.rdf/pr1375
LELIO,BONIN LONGARE,http://dati.camera.it/ocd/persona.rdf/pr1377
LUIGI,ARRIGOSSI,http://dati.camera.it/ocd/persona.rdf/pr138
CARLO,CAGNOLA,http://dati.camera.it/ocd/persona.rdf/pr1383
GALEAZZO,CALCIATI,http://dati.camera.it/ocd/persona.rdf/pr1392
ETTORE,CALDERARA,http://dati.camera.it/ocd/persona.rdf/pr1394
CLEMENTE,CALDESI,http://dati.camera.it/ocd/persona.rdf/pr1396
GIUSEPPE,CARLI,http://dati.camera.it/ocd/persona.rdf/pr1339
PIETRO,CARMINE,http://dati.camera.it/ocd/persona.rdf/pr1340
GIUSEPPE,CARNAZZA AMARI,http://dati.camera.it/ocd/persona.rdf/pr1341
CARLO,BUTTINI,http://dati.camera.it/ocd/persona.rdf/pr1345
GIUSEPPE,CADENAZZI,http://dati.camera.it/ocd/persona.rdf/pr1352
GIOVANNI,CADOLINI,http://dati.camera.it/ocd/persona.rdf/pr1353
RAFFAELE,CADORNA,http://dati.camera.it/ocd/persona.rdf/pr1355
ONORATO,CAETANI DI SERMONETA,http://dati.camera.it/ocd/persona.rdf/pr1357
PIETRO ANTONIO,CAFIERO,http://dati.camera.it/ocd/persona.rdf/pr1360
MASSIMO,BONARDI,http://dati.camera.it/ocd/persona.rdf/pr1364
GAETANO,BORRUSO,http://dati.camera.it/ocd/persona.rdf/pr1229
EMANUELE,BORROMEO,http://dati.camera.it/ocd/persona.rdf/pr1225
EMILIO,BOCCHIALINI,http://dati.camera.it/ocd/persona.rdf/pr1265
GIACOMO,BOGLIOLO,http://dati.camera.it/ocd/persona.rdf/pr1271
